"Time (EpSec)","Azimuth (deg)","Elevation (deg)","Range (km)"
38.000,113.28376305,62.41663557,17.648307
38.200,113.16686397,62.55336836,17.818730
38.400,113.04922572,62.68684882,17.990390
38.600,112.93087071,62.81711866,18.163285
38.800,112.81182166,62.94421919,18.337414
39.000,112.69209792,63.06818785,18.512775
39.200,112.57172401,63.18906634,18.689365
39.400,112.45071993,63.30689138,18.867184
39.600,112.32911068,63.42170385,19.046228
39.800,112.20691681,63.53353972,19.226496
40.000,112.08416262,63.64243795,19.407986
40.200,111.96087301,63.74843789,19.590697
40.400,111.83706877,63.85157350,19.774626
40.600,111.71277470,63.95188252,19.959772
40.800,111.58801571,64.04940223,20.146134
41.000,111.46281360,64.14416627,20.333709
41.200,111.33719461,64.23621220,20.522496
41.400,111.21118077,64.32557290,20.712493
41.600,111.08479743,64.41228403,20.903699
41.800,110.95806993,64.49638083,21.096111
42.000,110.83102057,64.57789503,21.289730
42.200,110.70367477,64.65686107,21.484552
42.400,110.57605790,64.73331298,21.680577
42.600,110.44819236,64.80728135,21.877802
42.800,110.32010348,64.87879943,22.076228
43.000,110.19181650,64.94790005,22.275851
43.200,110.06335375,65.01461267,22.476672
43.400,109.93474031,65.07896939,22.678688
43.600,109.80600116,65.14100186,22.881897
43.800,109.67715835,65.20073848,23.086300
44.000,109.54823661,65.25821016,23.291894
44.200,109.41926046,65.31344745,23.498678
44.400,109.29025157,65.36647767,23.706651
44.600,109.16123414,65.41733064,23.915811
44.800,109.03223209,65.46603580,24.126158
45.000,108.90326659,65.51261944,24.337691
45.200,108.77436105,65.55711048,24.550407
45.400,108.64553880,65.59953712,24.764307
45.600,108.51682036,65.63992466,24.979388
45.800,108.38822844,65.67830080,25.195650
46.000,108.25978466,65.71469201,25.413092
46.200,108.13151112,65.74912529,25.631712
46.400,108.00342729,65.78162468,25.851510
46.600,107.87555467,65.81221655,26.072484
46.800,107.74791365,65.84092609,26.294634
47.000,107.62052501,65.86777899,26.517958
47.200,107.49340701,65.89279810,26.742455
47.400,107.36657976,65.91600854,26.968125
47.600,107.24006228,65.93743424,27.194967
47.800,107.11387391,65.95709970,27.422979
48.000,106.98803154,65.97502661,27.652161
48.200,106.86255377,65.99123888,27.882512
48.400,106.73745811,66.00575931,28.114031
48.600,106.61276236,66.01861120,28.346718
48.800,106.48848194,66.02981519,28.580570
49.000,106.36463384,66.03939405,28.815589
49.200,106.24123401,66.04736946,29.051772
49.400,106.11829797,66.05376285,29.289119
49.600,105.99584146,66.05859618,29.527629
49.800,105.87387796,66.06188879,29.767302
50.000,105.75242241,66.06366211,30.008137
50.200,105.63148830,66.06393615,30.250133
50.400,105.51108951,66.06273147,30.493290
50.600,105.39123965,66.06006874,30.737607
