                                                         27 Feb 2020 11:34:09
Sensor-FOV


 Name       Start Time (UTCG)           Stop Time (UTCG)       Duration (sec)
02959    3 Dec 2019 04:00:00.000    3 Dec 2019 04:02:40.620           160.620
02960    3 Dec 2019 04:00:00.000    3 Dec 2019 04:00:23.957            23.957
03005    3 Dec 2019 04:04:02.894    3 Dec 2019 04:05:00.000            57.106
03006    3 Dec 2019 04:01:58.629    3 Dec 2019 04:05:00.000           181.371
03007    3 Dec 2019 04:00:00.000    3 Dec 2019 04:03:47.469           227.469
03008    3 Dec 2019 04:00:00.000    3 Dec 2019 04:01:22.116            82.116
03401    3 Dec 2019 04:03:10.381    3 Dec 2019 04:05:00.000           109.619
03402    3 Dec 2019 04:01:01.650    3 Dec 2019 04:05:00.000           238.350
03403    3 Dec 2019 04:00:00.000    3 Dec 2019 04:05:00.000           300.000
03404    3 Dec 2019 04:00:00.000    3 Dec 2019 04:03:48.282           228.282
03405    3 Dec 2019 04:00:00.000    3 Dec 2019 04:01:33.314            93.314
03697    3 Dec 2019 04:03:34.570    3 Dec 2019 04:05:00.000            85.430
03698    3 Dec 2019 04:02:06.972    3 Dec 2019 04:05:00.000           173.028
03699    3 Dec 2019 04:00:39.643    3 Dec 2019 04:05:00.000           260.357
03700    3 Dec 2019 04:00:00.000    3 Dec 2019 04:04:39.585           279.585
03701    3 Dec 2019 04:00:00.000    3 Dec 2019 04:02:59.967           179.967
03702    3 Dec 2019 04:00:00.000    3 Dec 2019 04:01:19.916            79.916
03828    3 Dec 2019 04:04:20.615    3 Dec 2019 04:05:00.000            39.385
03829    3 Dec 2019 04:02:46.199    3 Dec 2019 04:05:00.000           133.801
03830    3 Dec 2019 04:01:11.906    3 Dec 2019 04:05:00.000           228.094
03831    3 Dec 2019 04:00:00.000    3 Dec 2019 04:05:00.000           300.000
03832    3 Dec 2019 04:00:00.000    3 Dec 2019 04:05:00.000           300.000
03833    3 Dec 2019 04:00:00.000    3 Dec 2019 04:05:00.000           300.000
03834    3 Dec 2019 04:00:00.000    3 Dec 2019 04:03:44.118           224.118
03835    3 Dec 2019 04:00:00.000    3 Dec 2019 04:02:13.109           133.109
03836    3 Dec 2019 04:00:00.000    3 Dec 2019 04:00:42.028            42.028
