                                                         22 Jun 2020 01:21:05
Place-MidPoint


 Name       Start Time (UTCG)           Stop Time (UTCG)       Duration (sec)
01358    3 Dec 2019 00:04:59.194    3 Dec 2019 00:10:00.000           300.806
01359    3 Dec 2019 00:02:48.362    3 Dec 2019 00:10:00.000           431.638
01360    3 Dec 2019 00:00:37.664    3 Dec 2019 00:10:00.000           562.336
01361    3 Dec 2019 00:00:00.000    3 Dec 2019 00:10:00.000           600.000
01362    3 Dec 2019 00:00:00.000    3 Dec 2019 00:10:00.000           600.000
01363    3 Dec 2019 00:00:00.000    3 Dec 2019 00:10:00.000           600.000
01364    3 Dec 2019 00:00:00.000    3 Dec 2019 00:08:50.574           530.574
01365    3 Dec 2019 00:00:00.000    3 Dec 2019 00:06:32.896           392.896
01366    3 Dec 2019 00:00:00.000    3 Dec 2019 00:04:15.131           255.131
01367    3 Dec 2019 00:00:00.000    3 Dec 2019 00:01:57.276           117.276
01406    3 Dec 2019 00:09:27.030    3 Dec 2019 00:10:00.000            32.970
01407    3 Dec 2019 00:07:19.234    3 Dec 2019 00:10:00.000           160.766
01408    3 Dec 2019 00:05:11.665    3 Dec 2019 00:10:00.000           288.335
01409    3 Dec 2019 00:03:04.329    3 Dec 2019 00:10:00.000           415.671
01410    3 Dec 2019 00:00:57.238    3 Dec 2019 00:10:00.000           542.762
01411    3 Dec 2019 00:00:00.000    3 Dec 2019 00:10:00.000           600.000
01412    3 Dec 2019 00:00:00.000    3 Dec 2019 00:10:00.000           600.000
01413    3 Dec 2019 00:00:00.000    3 Dec 2019 00:08:09.502           489.502
01414    3 Dec 2019 00:00:00.000    3 Dec 2019 00:05:49.130           349.130
01415    3 Dec 2019 00:00:00.000    3 Dec 2019 00:03:28.530           208.530
01416    3 Dec 2019 00:00:00.000    3 Dec 2019 00:01:07.669            67.669
01457    3 Dec 2019 00:09:17.991    3 Dec 2019 00:10:00.000            42.009
01458    3 Dec 2019 00:07:20.213    3 Dec 2019 00:10:00.000           159.787
01459    3 Dec 2019 00:05:23.728    3 Dec 2019 00:10:00.000           276.272
01460    3 Dec 2019 00:03:28.816    3 Dec 2019 00:10:00.000           391.184
01461    3 Dec 2019 00:01:35.918    3 Dec 2019 00:08:01.907           385.989
01462    3 Dec 2019 00:00:00.000    3 Dec 2019 00:05:27.104           327.104
01463    3 Dec 2019 00:00:00.000    3 Dec 2019 00:02:48.467           168.467
01464    3 Dec 2019 00:00:00.000    3 Dec 2019 00:00:03.286             3.286
02181    3 Dec 2019 00:03:36.821    3 Dec 2019 00:05:43.082           126.261
02182    3 Dec 2019 00:00:38.350    3 Dec 2019 00:04:19.139           220.789
02183    3 Dec 2019 00:00:00.000    3 Dec 2019 00:02:39.807           159.807
02184    3 Dec 2019 00:00:00.000    3 Dec 2019 00:00:54.075            54.075
02226    3 Dec 2019 00:09:01.971    3 Dec 2019 00:10:00.000            58.029
02227    3 Dec 2019 00:06:41.224    3 Dec 2019 00:10:00.000           198.776
02228    3 Dec 2019 00:04:20.815    3 Dec 2019 00:10:00.000           339.185
02229    3 Dec 2019 00:02:00.717    3 Dec 2019 00:10:00.000           479.283
02230    3 Dec 2019 00:00:00.000    3 Dec 2019 00:10:00.000           600.000
02231    3 Dec 2019 00:00:00.000    3 Dec 2019 00:10:00.000           600.000
02232    3 Dec 2019 00:00:00.000    3 Dec 2019 00:08:03.710           483.710
02233    3 Dec 2019 00:00:00.000    3 Dec 2019 00:05:58.759           358.759
02234    3 Dec 2019 00:00:00.000    3 Dec 2019 00:03:53.521           233.521
02235    3 Dec 2019 00:00:00.000    3 Dec 2019 00:01:48.003           108.003
02275    3 Dec 2019 00:07:59.848    3 Dec 2019 00:10:00.000           120.152
02276    3 Dec 2019 00:05:42.922    3 Dec 2019 00:10:00.000           257.078
02277    3 Dec 2019 00:03:26.095    3 Dec 2019 00:10:00.000           393.905
02278    3 Dec 2019 00:01:09.368    3 Dec 2019 00:10:00.000           530.632
02279    3 Dec 2019 00:00:00.000    3 Dec 2019 00:10:00.000           600.000
02280    3 Dec 2019 00:00:00.000    3 Dec 2019 00:10:00.000           600.000
02281    3 Dec 2019 00:00:00.000    3 Dec 2019 00:10:00.000           600.000
02282    3 Dec 2019 00:00:00.000    3 Dec 2019 00:08:39.663           519.663
02283    3 Dec 2019 00:00:00.000    3 Dec 2019 00:06:30.572           390.572
02284    3 Dec 2019 00:00:00.000    3 Dec 2019 00:04:21.349           261.349
02285    3 Dec 2019 00:00:00.000    3 Dec 2019 00:02:11.980           131.980
02286    3 Dec 2019 00:00:00.000    3 Dec 2019 00:00:02.480             2.480
02324    3 Dec 2019 00:07:45.706    3 Dec 2019 00:10:00.000           134.294
02325    3 Dec 2019 00:05:30.124    3 Dec 2019 00:10:00.000           269.876
02326    3 Dec 2019 00:03:14.582    3 Dec 2019 00:10:00.000           405.418
02327    3 Dec 2019 00:00:59.085    3 Dec 2019 00:10:00.000           540.915
02328    3 Dec 2019 00:00:00.000    3 Dec 2019 00:10:00.000           600.000
02329    3 Dec 2019 00:00:00.000    3 Dec 2019 00:10:00.000           600.000
02330    3 Dec 2019 00:00:00.000    3 Dec 2019 00:10:00.000           600.000
02331    3 Dec 2019 00:00:00.000    3 Dec 2019 00:10:00.000           600.000
02332    3 Dec 2019 00:00:00.000    3 Dec 2019 00:08:10.957           490.957
02333    3 Dec 2019 00:00:00.000    3 Dec 2019 00:05:59.505           359.505
02334    3 Dec 2019 00:00:00.000    3 Dec 2019 00:03:47.949           227.949
02335    3 Dec 2019 00:00:00.000    3 Dec 2019 00:01:36.299            96.299
02373    3 Dec 2019 00:07:48.480    3 Dec 2019 00:10:00.000           131.520
02374    3 Dec 2019 00:05:33.460    3 Dec 2019 00:10:00.000           266.540
02375    3 Dec 2019 00:03:18.447    3 Dec 2019 00:10:00.000           401.553
02376    3 Dec 2019 00:01:03.460    3 Dec 2019 00:10:00.000           536.540
02377    3 Dec 2019 00:00:00.000    3 Dec 2019 00:10:00.000           600.000
02378    3 Dec 2019 00:00:00.000    3 Dec 2019 00:10:00.000           600.000
02379    3 Dec 2019 00:00:00.000    3 Dec 2019 00:10:00.000           600.000
